target,EngineID,Cycle,actual,prediction,abs_residual
CompressorHealth,1,1,0.9972206939489918,0.9973250044711436,0.00010431052215176262
CompressorHealth,1,2,0.9931565457646512,0.9887519764979519,0.004404569266699299
CompressorHealth,1,3,0.9884070488970544,0.9820450918164761,0.0063619570805782955
CompressorHealth,1,4,0.9831494391003376,0.9755894690681688,0.007559970032168795
CompressorHealth,1,5,0.9774784965710276,0.9724931555115702,0.00498534105945736
CompressorHealth,1,7,0.9651210160628512,0.9627333662306904,0.0023876498321607764
CompressorHealth,1,9,0.9516438590033875,0.9467000795122986,0.004943779491088929
CompressorHealth,1,11,0.9372307609617008,0.930512345781691,0.006718415180009818
CompressorHealth,1,12,0.9297134878340814,0.914321303582182,0.015392184251899366
CompressorHealth,1,13,0.9220057240061724,0.9069186806406812,0.01508704336549127
CompressorHealth,1,14,0.914117867565264,0.90787663720571,0.00624123035955404
CompressorHealth,1,15,0.9060590365993728,0.9060500074988157,9.029100557111924e-06
CompressorHealth,1,16,0.8978373027575564,0.9064522761324542,0.008614973374897805
CompressorHealth,1,17,0.889459870063442,0.8949955790471533,0.005535708983711363
CompressorHealth,1,19,0.8722631935386119,0.8762407069078428,0.003977513369230912
CompressorHealth,1,20,0.8634551365999437,0.8599348234728006,0.003520313127143071
CompressorHealth,1,21,0.8545139153864967,0.8293610207819438,0.025152894604552833
CompressorHealth,1,22,0.8454440040561729,0.8262265804305791,0.019217423625593866
CompressorHealth,1,23,0.8362495282691685,0.8315690243196251,0.004680503949543446
CompressorHealth,1,24,0.8269343064268596,0.7934227730603712,0.03351153336648838
CompressorHealth,1,27,0.798298435720123,0.8008929852089111,0.0025945494887880116
CompressorHealth,1,28,0.7885333848936531,0.7810940442882282,0.007439340605424949
CompressorHealth,1,29,0.778663126903856,0.7839089317355892,0.005245804831733203
CompressorHealth,1,30,0.7686902154501571,0.7676346521732353,0.0010555632769218004
CompressorHealth,2,1,0.9966994934315256,0.9894781921967795,0.00722130123474618
CompressorHealth,2,2,0.9918731995540292,0.990514361263384,0.0013588382906452035
CompressorHealth,2,3,0.9862330342319104,0.9898420795767826,0.0036090453448721638
CompressorHealth,2,5,0.9732550612868716,0.9781964662801244,0.004941404993252796
CompressorHealth,2,6,0.9661017540118116,0.9766586039861038,0.010556849974292182
CompressorHealth,2,7,0.9585801946696324,0.9637048889620095,0.005124694292377052
CompressorHealth,2,8,0.9507282957252724,0.9579055521169857,0.007177256391713294
CompressorHealth,2,9,0.9425756796638152,0.9506009917844872,0.008025312120672035
CompressorHealth,2,10,0.9341462362361596,0.9458054127660172,0.011659176529857596
CompressorHealth,2,11,0.9254597075881972,0.9350409025423584,0.00958119495416121
CompressorHealth,2,12,0.9165327276589,0.9374007734015928,0.020868045742692742
CompressorHealth,2,14,0.8980124761313681,0.9094896151512204,0.011477139019852256
CompressorHealth,2,15,0.8884423805575107,0.900450776659371,0.01200839610186033
CompressorHealth,2,18,0.8586047376559542,0.878095475802899,0.019490738146944797
CompressorHealth,2,19,0.8483088364418105,0.8778867000905032,0.029577863648692637
CompressorHealth,2,20,0.8378490132888241,0.882037545742301,0.04418853245347687
CompressorHealth,2,21,0.8272310536961915,0.8670070960700749,0.039776042373883325
CompressorHealth,2,22,0.8164602708562252,0.864062519325056,0.047602248468830766
CompressorHealth,2,23,0.8055415641101011,0.8600431674588652,0.05450160334876408
